country,sex,age_group,year,labour_force_000
bhr,f,total,2004,80.94499969482422
brb,mf,total,1992,124.80000305175781
brb,m,total,1992,64.5
brb,f,total,1992,60.29999923706055
brb,mf,total,1993,126.30000305175781
brb,m,total,1993,65.19999694824219
brb,f,total,1993,61.099998474121094
brb,mf,total,1994,135.10000610351562
brb,m,total,1994,68.80000305175781
brb,f,total,1994,66.30000305175781
brb,mf,total,1995,136.8000030517578
brb,m,total,1995,69.0999984741211
brb,f,total,1995,67.5999984741211
brb,mf,total,1996,135.39999389648438
brb,m,total,1996,69.0
brb,f,total,1996,66.5
brb,mf,total,1997,135.6999969482422
brb,m,total,1997,69.80000305175781
brb,f,total,1997,66.0
brb,mf,total,1998,136.3000030517578
brb,m,total,1998,70.30000305175781
brb,f,total,1998,66.0
brb,mf,total,1999,136.60000610351562
brb,m,total,1999,71.0
brb,f,total,1999,65.5999984741211
brb,mf,total,2000,138.6999969482422
brb,m,total,2000,72.5999984741211
brb,f,total,2000,66.0999984741211
brb,mf,total,2001,142.89999389648438
brb,m,total,2001,73.69999694824219
brb,f,total,2001,69.0999984741211
brb,mf,total,2004,146.0500030517578
brb,mf,total,2005,146.77499389648438
brb,mf,total,2006,143.39999389648438
brb,mf,total,2007,143.6999969482422
brb,mf,total,2008,143.8249969482422
brb,mf,total,2009,142.75
brb,mf,total,2010,142.125
brb,mf,total,2011,144.5500030517578
brb,mf,total,2012,141.6999969482422
brb,m,total,2012,72.80000305175781
brb,f,total,2012,68.9000015258789
blr,mf,total,2009,
blr,m,total,2009,
blr,f,total,2009,
blr,mf,total,2010,
blr,m,total,2010,
blr,f,total,2010,
blr,mf,total,2011,
blr,m,total,2011,
blr,f,total,2011,
blr,mf,total,2012,
blr,m,total,2012,
blr,f,total,2012,
blr,mf,total,2013,
blr,m,total,2013,
blr,f,total,2013,
bel,mf,total,1983,3865.155029296875
bel,mf,youth,1983,681.2000122070312
bel,mf,adult,1983,3183.955078125
bel,m,total,1983,2440.4609375
bel,m,youth,1983,357.1000061035156
bel,m,adult,1983,2083.361083984375
bel,f,total,1983,1424.6939697265625
bel,f,youth,1983,324.1000061035156
bel,f,adult,1983,1100.593994140625
bel,mf,total,1984,3927.14208984375
bel,mf,youth,1984,652.0999755859375
bel,mf,adult,1984,3275.0419921875
bel,m,total,1984,2450.89794921875
bel,m,youth,1984,339.3999938964844
bel,m,adult,1984,2111.498046875
bel,f,total,1984,1476.2440185546875
bel,f,youth,1984,312.70001220703125
bel,f,adult,1984,1163.5439453125
bel,mf,total,1985,3960.35693359375
bel,mf,youth,1985,634.2999877929688
bel,mf,adult,1985,3326.056884765625
bel,m,total,1985,2461.491943359375
bel,m,youth,1985,325.8999938964844
bel,m,adult,1985,2135.592041015625
bel,f,total,1985,1498.864990234375
bel,f,youth,1985,308.3999938964844
bel,f,adult,1985,1190.4649658203125
bel,mf,total,1986,3969.537109375
bel,mf,youth,1986,634.4000244140625
bel,mf,adult,1986,3335.136962890625
bel,m,total,1986,2446.97412109375
bel,m,youth,1986,326.70001220703125
