country,sex,age_group,year,long_term_unemployment_rate
bhr,mf,total,2004,1.7999999523162842
bhr,m,total,2004,1.399999976158142
bhr,f,total,2004,3.200000047683716
brb,mf,total,1992,13.399999618530273
brb,m,total,1992,11.300000190734863
brb,f,total,1992,15.800000190734863
brb,mf,total,1993,15.0
brb,m,total,1993,12.100000381469727
brb,f,total,1993,18.200000762939453
brb,mf,total,1994,13.0
brb,m,total,1994,9.0
brb,f,total,1994,17.0
brb,mf,total,1995,14.100000381469727
brb,m,total,1995,11.399999618530273
brb,f,total,1995,16.899999618530273
brb,mf,total,1996,8.699999809265137
brb,m,total,1996,5.5
brb,f,total,1996,12.0
brb,mf,total,1997,8.5
brb,m,total,1997,5.599999904632568
brb,f,total,1997,11.699999809265137
brb,mf,total,1998,6.800000190734863
brb,m,total,1998,3.799999952316284
brb,f,total,1998,10.0
brb,mf,total,1999,5.099999904632568
brb,m,total,1999,2.700000047683716
brb,f,total,1999,7.5
brb,mf,total,2000,4.699999809265137
brb,m,total,2000,3.200000047683716
brb,f,total,2000,6.400000095367432
brb,mf,total,2001,4.599999904632568
brb,m,total,2001,2.799999952316284
brb,f,total,2001,6.400000095367432
brb,mf,total,2004,1.2000000476837158
brb,mf,total,2005,1.100000023841858
brb,mf,total,2006,1.2000000476837158
brb,mf,total,2007,1.0
brb,mf,total,2008,1.0
brb,mf,total,2009,1.399999976158142
brb,mf,total,2010,1.7999999523162842
brb,mf,total,2011,1.899999976158142
brb,mf,total,2012,2.299999952316284
brb,m,total,2012,1.2000000476837158
brb,f,total,2012,3.200000047683716
blr,mf,total,2009,
blr,m,total,2009,
blr,f,total,2009,
blr,mf,total,2010,
blr,m,total,2010,
blr,f,total,2010,
blr,mf,total,2011,
blr,m,total,2011,
blr,f,total,2011,
blr,mf,total,2012,
blr,m,total,2012,
blr,f,total,2012,
blr,mf,total,2013,
blr,m,total,2013,
blr,f,total,2013,
bel,mf,total,1983,7.5
bel,mf,youth,1983,11.699999809265137
bel,mf,adult,1983,6.599999904632568
bel,m,total,1983,4.699999809265137
bel,m,youth,1983,8.699999809265137
bel,m,adult,1983,4.0
bel,f,total,1983,12.300000190734863
bel,f,youth,1983,15.100000381469727
bel,f,adult,1983,11.5
bel,mf,total,1984,8.0
bel,mf,youth,1984,13.600000381469727
bel,mf,adult,1984,6.900000095367432
bel,m,total,1984,5.0
bel,m,youth,1984,10.600000381469727
bel,m,adult,1984,4.099999904632568
bel,f,total,1984,12.899999618530273
bel,f,youth,1984,16.899999618530273
bel,f,adult,1984,11.800000190734863
bel,mf,total,1985,7.699999809265137
bel,mf,youth,1985,12.5
bel,mf,adult,1985,6.800000190734863
bel,m,total,1985,4.699999809265137
bel,m,youth,1985,8.300000190734863
bel,m,adult,1985,4.099999904632568
bel,f,total,1985,12.800000190734863
bel,f,youth,1985,16.899999618530273
bel,f,adult,1985,11.800000190734863
bel,mf,total,1986,7.800000190734863
bel,mf,youth,1986,10.699999809265137
bel,mf,adult,1986,7.300000190734863
bel,m,total,1986,4.699999809265137
bel,m,youth,1986,6.900000095367432
bel,m,adult,1986,4.300000190734863
bel,f,total,1986,12.899999618530273
bel,f,youth,1986,14.699999809265137
bel,f,adult,1986,12.399999618530273
bel,mf,total,1987,8.199999809265137
bel,mf,youth,1987,12.0
bel,mf,adult,1987,7.5
bel,m,total,1987,5.099999904632568
